"","year","state","population","urban","sex_ratio"
"1",2011,"india",1210855000,31.14,1076.42624701976
"2",2011,"himachal_pradesh",6865000,10.04,1173.50157728707
"3",2011,"punjab",27743000,37.48,1142.79826911189
"4",2011,"haryana",25351000,34.88,1145.59572919194
"5",2011,"nct_of_delhi",16788000,97.5,1152.11674993426
"6",2011,"rajasthan",68548000,24.87,1094.09163493428
"7",2011,"uttar_pradesh",199812000,22.27,1118.6077516427
"8",2011,"bihar",104099000,11.29,1117.4140104448
"9",2011,"assam",31206000,14.1,1057.53040224509
"10",2011,"west_bengal",91276000,31.87,1059.38982091031
"11",2011,"jharkhand",32988000,24.05,1098.67724867725
"12",2011,"odisha",41974000,16.69,1072.8026043208
"13",2011,"chhattisgarh",25545000,23.24,1045.83046175052
"14",2011,"madhya_pradesh",72627000,27.63,1089.43258719417
"15",2011,"gujarat",60440000,42.6,1136.33723342461
"16",2011,"maharashtra",112374000,45.22,1107.40648585884
"17",2011,"andhra_pradesh",49577000,29.47,1013.22860686234
"18",2011,"karnataka",61095000,38.67,1038.48144952545
"19",2011,"kerala",33406000,47.7,916.646620158768
"20",2011,"tamil_nadu",72147000,48.4,1000
"21",2011,"chandigarh",1055000,97.21,1215.98272138229
"22",2011,"uttarakhand",10086000,30.23,1130.67784765898
"23",2011,"sikkim",611000,25.22,1109.58904109589
"24",2011,"arunachal_pradesh",1384000,22.91,1127.51677852349
"25",2011,"nagaland",1979000,28.86,1099.26470588235
"26",2011,"manipur",2856000,29.2,976.303317535545
"27",2011,"mizoram",1097000,52.13,1000
"28",2011,"tripura",3674000,26.16,1027.42616033755
"29",2011,"meghalaya",2967000,20.05,996.644295302013
"30",2011,"daman_&_diu",243000,75.23,1614.28571428571
"31",2011,"dadra_&_nagar_haveli",344000,46.84,1476.92307692308
"32",2011,"goa",1459000,62.19,1047.40406320542
"33",2011,"lakshadweep",64000,77.55,1083.33333333333
"34",2011,"puducherry",1248000,68.35,960.919540229885
"35",2011,"andaman_&_nicobar_islands",381000,NA,1134.32835820896
"36",2012,"india",1226731000,31.49,1076.42558773406
"37",2012,"himachal_pradesh",6923000,10.05,1175
"38",2012,"punjab",28023000,37.85,1143.05920387957
"39",2012,"haryana",25772000,35.5,1145.40337711069
"40",2012,"nct_of_delhi",17166000,97.76,1151.96204154912
"41",2012,"rajasthan",69687000,25.02,1094.16286331972
"42",2012,"uttar_pradesh",203067000,22.42,1118.57229280097
"43",2012,"bihar",106115000,11.38,1117.48202700333
"44",2012,"assam",31598000,14.22,1057.23443223443
"45",2012,"west_bengal",92037000,32.28,1059.26798835436
"46",2012,"jharkhand",33551000,24.23,1099.14794732765
"47",2012,"odisha",42205000,16.86,1073.11389455287
"48",2012,"chhattisgarh",25950000,23.57,1045.81939799331
"49",2012,"madhya_pradesh",73863000,27.75,1089.28753440016
"50",2012,"gujarat",61383000,43.13,1136.38931482528
"51",2012,"maharashtra",113645000,45.5,1107.38446491157
"52",2012,"andhra_pradesh",49936000,30.04,1013.28859060403
"53",2012,"karnataka",61722000,39.15,1038.46802766998
"54",2012,"kerala",33641000,50.09,916.619269707655
"55",2012,"tamil_nadu",72645000,48.83,1000
"56",2012,"chandigarh",1072000,97.61,1216.10169491525
"57",2012,"uttarakhand",10220000,30.7,1131.79347826087
"58",2012,"sikkim",617000,27.06,1087.5
"59",2012,"arunachal_pradesh",1399000,23.16,1117.64705882353
"60",2012,"nagaland",2e+06,30.2,1104.52961672474
"61",2012,"manipur",2887000,29.48,974.477958236659
"62",2012,"mizoram",1109000,52.38,1003.44827586207
"63",2012,"tripura",3714000,27.22,1026.05210420842
"64",2012,"meghalaya",2999000,20.1,996.688741721854
"65",2012,"daman_&_diu",260000,77.94,1671.05263157895
"66",2012,"dadra_&_nagar_haveli",365000,49.26,1465.75342465753
"67",2012,"goa",1469000,63.37,1046.15384615385
"68",2012,"lakshadweep",65000,80.15,1080
"69",2012,"puducherry",1279000,68.5,959.731543624161
"70",2012,"andaman_&_nicobar_islands",383000,NA,1147.05882352941
"71",2013,"india",1242607000,31.83,1076.42750255966
"72",2013,"himachal_pradesh",6982000,10.08,1172.83950617284
"73",2013,"punjab",28302000,38.21,1142.65900534971
"74",2013,"haryana",26193000,36.11,1145.38444091631
"75",2013,"nct_of_delhi",17544000,97.99,1152.1031547321
"76",2013,"rajasthan",70825000,25.17,1093.97392223658
"77",2013,"uttar_pradesh",206322000,22.57,1118.61322171163
"78",2013,"bihar",108130000,11.46,1117.33561058924
"79",2013,"assam",31991000,14.34,1057.39910313901
"80",2013,"west_bengal",92797000,32.68,1059.34677802675
"81",2013,"jharkhand",34113000,24.41,1098.79032258065
"82",2013,"odisha",42436000,17.04,1073.10779816514
"83",2013,"chhattisgarh",26356000,23.9,1045.79408898993
"84",2013,"madhya_pradesh",75099000,27.87,1089.34810821603
"85",2013,"gujarat",62327000,43.65,1136.39575971731
"86",2013,"maharashtra",114915000,45.78,1107.43470597661
"87",2013,"andhra_pradesh",50295000,30.61,1013.20952131834
"88",2013,"karnataka",62349000,39.63,1038.44567279927
"89",2013,"kerala",33875000,52.47,916.540866939832
"90",2013,"tamil_nadu",73142000,49.27,1000
"91",2013,"chandigarh",1088000,98,1216.21621621622
"92",2013,"uttarakhand",10354000,31.19,1131.35313531353
"93",2013,"sikkim",624000,28.85,1093.02325581395
"94",2013,"arunachal_pradesh",1414000,23.41,1121.79487179487
"95",2013,"nagaland",2022000,31.61,1101.97368421053
"96",2013,"manipur",2918000,29.75,972.727272727273
"97",2013,"mizoram",1121000,52.62,1000
"98",2013,"tripura",3754000,28.26,1028.68068833652
"99",2013,"meghalaya",3032000,20.15,996.732026143791
"100",2013,"daman_&_diu",278000,80.68,1765.43209876543
"101",2013,"dadra_&_nagar_haveli",387000,51.66,1469.13580246914
"102",2013,"goa",1480000,64.53,1044.96788008565
"103",2013,"lakshadweep",65000,82.72,1076.92307692308
"104",2013,"puducherry",1310000,68.65,958.605664488017
"105",2013,"andaman_&_nicobar_islands",385000,NA,1159.42028985507
"106",2014,"india",1258483000,32.16,1076.42155479751
"107",2014,"himachal_pradesh",7041000,10.1,1174.3119266055
"108",2014,"punjab",28581000,38.57,1142.66277939747
"109",2014,"haryana",26614000,36.72,1145.55433589462
"110",2014,"nct_of_delhi",17921000,98.21,1151.97456901822
"111",2014,"rajasthan",71963000,25.32,1094.13793103448
"112",2014,"uttar_pradesh",209577000,22.72,1118.53697606123
"113",2014,"bihar",110145000,11.55,1117.17709720373
"114",2014,"assam",32383000,14.46,1057.09266578832
"115",2014,"west_bengal",93558000,33.09,1059.34007450772
"116",2014,"jharkhand",34675000,24.59,1098.9416687177
"117",2014,"odisha",42667000,17.22,1073.08126410835
"118",2014,"chhattisgarh",26761000,24.23,1045.75575891448
"119",2014,"madhya_pradesh",76334000,27.98,1089.39749608764
"120",2014,"gujarat",63271000,44.17,1136.28372697394
"121",2014,"maharashtra",116186000,46.06,1107.38757186737
"122",2014,"andhra_pradesh",50654000,31.18,1013.12938177183
"123",2014,"karnataka",62975000,40.11,1038.49878934625
"124",2014,"kerala",34109000,54.85,916.513009629174
"125",2014,"tamil_nadu",73640000,49.71,1000
"126",2014,"chandigarh",1104000,98.29,1214.28571428571
"127",2014,"uttarakhand",10487000,31.66,1130.93709884467
"128",2014,"sikkim",631000,30.77,1086.02150537634
"129",2014,"arunachal_pradesh",1429000,23.58,1119.49685534591
"130",2014,"nagaland",2043000,32.99,1099.68847352025
"131",2014,"manipur",2949000,30.01,975.446428571429
"132",2014,"mizoram",1133000,52.86,1003.34448160535
"133",2014,"tripura",3794000,29.33,1027.32240437158
"134",2014,"meghalaya",3064000,20.2,996.774193548387
"135",2014,"daman_&_diu",295000,83.09,1816.09195402299
"136",2014,"dadra_&_nagar_haveli",409000,54.05,1455.55555555556
"137",2014,"goa",1491000,65.75,1045.92901878914
"138",2014,"lakshadweep",66000,85.25,1074.07407407407
"139",2014,"puducherry",1340000,68.86,959.660297239915
"140",2014,"andaman_&_nicobar_islands",387000,NA,1140.84507042254
"141",2015,"india",1274359000,32.5,1076.42871465811
"142",2015,"himachal_pradesh",7100000,10.13,1172.20543806647
"143",2015,"punjab",28861000,38.93,1143.04787335495
"144",2015,"haryana",27034000,37.33,1145.40816326531
"145",2015,"nct_of_delhi",18299000,98.41,1152.12715105163
"146",2015,"rajasthan",73102000,25.46,1094.16132298346
"147",2015,"uttar_pradesh",212832000,22.87,1118.53560856695
"148",2015,"bihar",112161000,11.63,1117.16975008114
