Company Name|Year|Total income|Change in stock|Total expenses|Total liabilities|Total assets|No. of employees|Sales
'K' Steamship Agencies Pvt. Ltd.|31-03-2022|102.80||103.10|819.90|819.90||85.80
'X'Clusive Business Centre Pvt. Ltd.|31-03-2002|0.60||0.60|0.50|0.50||0.10
1 To 1 Help.Net Pvt. Ltd.|31-03-2021|270.80||243.40|162.30|162.30||259.20
10C India Internet Pvt. Ltd.|31-03-2022|41.00||35.50|105.10|105.10||39.00
10I Commerce Services Pvt. Ltd.|31-03-2022|661.00|-23.20|1875.50|45.80|45.80||660.90
18Th Step Resorts Pvt. Ltd.|31-03-2004|1.10||1.80|8.20|8.20||0.80
2 X 2 Logistics Pvt. Ltd.|31-03-2023|208.20||246.90|216.50|216.50||207.90
20 Microns Ltd.|31-03-2023|6044.20|-1.70|5681.00|4921.30|4921.30|346|6024.40
20 Microns Nano Minerals Ltd.|31-03-2023|903.60|-4.00|848.40|855.80|855.80||881.80
20Cube Warehousing & Distribution Pvt. Ltd.|31-03-2022|1232.30||1186.30|1490.50|1490.50||1216.50
20Th Century Engg. Ltd.|31-03-2009|1.90||2.00|26.00|26.00||
20Th Century Finance Corpn. Ltd. [Merged]|31-12-1997|2232.50||2053.60|11165.90|11165.90||
20Th Century Gems Ltd.|31-03-2022|7.70||1.80|69.50|69.50||3.00
20Th Century Holdings Pvt. Ltd.|31-03-2022|36.10||22.50|296.10|296.10||2.70
20Th Century Trdg. Pvt. Ltd.|31-03-2022|0.30||0.10|3.30|3.30||
21St Century Automotive India Ltd.|31-03-2010|0.90||0.90|6.60|6.60||0.70
21St Century Constructions Ltd.|31-03-2022|0.40||7.50|367.40|367.40||
21St Century Constructions Pvt. Ltd.|31-03-2007|0.10|||195.40|195.40||0.10
24-7 Intouch India Pvt. Ltd.|31-03-2022|1957.70||1746.10|1069.70|1069.70||1948.60
24/7 Customer Pvt. Ltd.|31-03-2022|6098.00||5196.30|9777.10|9777.10||5742.20
24X7 E Power Ltd.|31-03-2011|10.40||9.00|55.80|55.80||6.90
2D Entertainment Pvt. Ltd.|31-03-2022|1216.70||982.50|891.10|891.10||1215.60
3 F Industries Ltd.|31-03-2022|43381.80|44.30|42629.60|19822.20|19822.20||42873.90
3 K Technologies Ltd.|31-03-2010|819.20||798.80|1464.40|1464.40||819.20
3 M Electro & Communication India Pvt. Ltd. [Merged]|31-03-2022|2664.10|82.90|2689.00|2583.90|2583.90||2631.40
360 Degree Global Equipments Pvt. Ltd.|31-03-2021|30.00||29.50|53.90|53.90||30.00
360 One Asset Mgmt. Ltd.|31-03-2023|5438.30||2918.60|2590.60|2590.60||30.00
360 One Asset Trustee Ltd.|31-03-2023|65.50||24.50|111.40|111.40||
360 One Distribution Services Ltd.|31-03-2023|5442.10||4707.00|14376.40|14376.40||
360 One Invst. Adviser & Trustee Services Ltd.|31-03-2023|161.50||145.90|449.90|449.90||74.40
360 One Portfolio Managers Ltd.|31-03-2023|1335.60||930.00|5705.10|5705.10||
360 One Prime Ltd.|31-03-2022|12490.80||10159.40|75881.10|75881.10||
360 One Wam Ltd.|31-03-2023|7548.40||2589.90|40518.00|40518.00|35|188.60
3A Capital Services Ltd.|31-03-2009|10.40||1.20|107.00|107.00||
3A Financial Services Ltd.|31-03-2022|212.50||128.00|381.80|381.80||
3D Future Technologies Pvt. Ltd.|31-03-2023|66.40|-0.10|120.90|120.40|120.40||64.50
3D P L M Global Services Pvt. Ltd.|31-03-2023|2205.10||1888.70|2019.50|2019.50||2111.00
3D Technopack Pvt. Ltd.|31-03-2022|933.10|9.60|1019.70|951.00|951.00||905.20
3Dinnovations Pvt. Ltd.|31-03-2022|0.20||0.10|6.90|6.90||
3I Infotech Consultancy Services Ltd.|31-03-2022|721.40||699.30|441.60|441.60||713.70
3I Infotech Digital B P S Ltd.|31-03-2022|644.00||594.30|626.10|626.10||613.40
3I Infotech Ltd.|31-03-2023|4186.80||3664.30|22211.30|22211.30||2762.40
3M India Ltd.|31-03-2023|37976.80|391.40|34206.80|29697.80|29697.80|2154|37334.50
3P Land Holdings Ltd.|31-03-2023|25.20||9.80|691.00|691.00|1|3.40
3Rd Rock Multimedia Ltd.|31-03-2021|76.50||76.30|263.70|263.70|30|76.50
4D Corporation Pvt. Ltd.|31-03-2022|254.90||250.70|86.90|86.90||254.80
4Pel Solar Energy Pvt. Ltd.|31-03-2022|457.70||688.70|6127.20|6127.20||225.10
4R Recycling Pvt. Ltd.|31-03-2022|105.80||101.40|99.30|99.30||105.50
5 Flavours Speciality Restaurants Pvt. Ltd.|31-03-2016|9.60||12.60|5.60|5.60||9.50
52 Weeks Entertainment Ltd.|31-03-2023|||1.60|198.90|198.90||
5Paisa Capital Ltd.|31-03-2023|3381.50||2948.50|16446.60|16446.60|541|
5Paisa Corporate Services Ltd.|31-03-2023||||0.40|0.40||
5Paisa P 2 P Ltd.|31-03-2023|10.30||8.30|48.10|48.10||
5Paisa Trading Ltd.|31-03-2023|1.80||1.00|1.70|1.70||
63 Moons Technologies Ltd.|31-03-2023|4797.70||4520.20|28908.20|28908.20|834|2827.70
63Ideas Infolabs Pvt. Ltd.|31-03-2022|9449.70|5.70|12524.50|13531.90|13531.90||9213.30
79Minutes E-Commerce Solutions Pvt. Ltd.|31-03-2016||||0.10|0.10||
7Nr Retail Ltd.|31-03-2023|483.10|15.90|496.60|486.40|486.40||476.50
7Seas Entertainment Ltd.|31-03-2023|55.60||51.30|32.50|32.50|30|55.20
9 Planets Products Pvt. Ltd.|31-03-2019|0.80||19.10|260.60|260.60||0.50
9 Star Integrated Township Ltd.|31-03-2012||||26.60|26.60||
